"","pig","compound","ration","sex","treat","week","weight","week_2"
"69",8,2,2,2,8,6,56,36
"70",8,2,2,2,8,7,62,49
"71",8,2,2,2,8,8,67,64
"72",8,2,2,2,8,9,73,81
"73",9,1,1,1,1,1,22,1
"74",9,1,1,1,1,2,28,4
"75",9,1,1,1,1,3,34,9
"76",9,1,1,1,1,4,40,16
"77",9,1,1,1,1,5,45,25
"78",9,1,1,1,1,6,50,36
"79",9,1,1,1,1,7,55,49
"80",9,1,1,1,1,8,60,64
"81",9,1,1,1,1,9,65,81
"82",10,1,1,2,2,1,23,1
"83",10,1,1,2,2,2,30,4
"84",10,1,1,2,2,3,36,9
"85",10,1,1,2,2,4,43,16
"86",10,1,1,2,2,5,48,25
"87",10,1,1,2,2,6,54,36
"88",10,1,1,2,2,7,60,49
"89",10,1,1,2,2,8,66,64
"90",10,1,1,2,2,9,73,81
"91",11,1,2,1,3,1,22,1
"92",11,1,2,1,3,2,28,4
"93",11,1,2,1,3,3,34,9
"94",11,1,2,1,3,4,40,16
"95",11,1,2,1,3,5,46,25
"96",11,1,2,1,3,6,52,36
"97",11,1,2,1,3,7,58,49
"98",11,1,2,1,3,8,63,64
"99",11,1,2,1,3,9,68,81
"100",12,1,2,2,4,1,23,1
"101",12,1,2,2,4,2,30,4
"102",12,1,2,2,4,3,37,9
"103",12,1,2,2,4,4,43,16
"104",12,1,2,2,4,5,49,25
"105",12,1,2,2,4,6,56,36
"106",12,1,2,2,4,7,63,49
"107",12,1,2,2,4,8,71,64
"108",12,1,2,2,4,9,78,81
"109",13,2,1,1,5,1,25,1
"110",13,2,1,1,5,2,30,4
"111",13,2,1,1,5,3,36,9
"112",13,2,1,1,5,4,41,16
"113",13,2,1,1,5,5,47,25
"114",13,2,1,1,5,6,53,36
"115",13,2,1,1,5,7,58,49
"116",13,2,1,1,5,8,63,64
"117",13,2,1,1,5,9,68,81
"118",14,2,1,2,6,1,24,1
"119",14,2,1,2,6,2,29,4
"120",14,2,1,2,6,3,35,9
"121",14,2,1,2,6,4,41,16
"122",14,2,1,2,6,5,47,25
"123",14,2,1,2,6,6,53,36
"124",14,2,1,2,6,7,59,49
"125",14,2,1,2,6,8,65,64
"126",14,2,1,2,6,9,71,81
"127",15,2,2,1,7,1,25,1
"128",15,2,2,1,7,2,30,4
"129",15,2,2,1,7,3,36,9
"130",15,2,2,1,7,4,42,16
"131",15,2,2,1,7,5,49,25
"132",15,2,2,1,7,6,56,36
"133",15,2,2,1,7,7,62,49
"134",15,2,2,1,7,8,68,64
"135",15,2,2,1,7,9,73,81
"136",16,2,2,2,8,1,25,1
"137",16,2,2,2,8,2,31,4
"138",16,2,2,2,8,3,38,9
"139",16,2,2,2,8,4,44,16
"140",16,2,2,2,8,5,51,25
"141",16,2,2,2,8,6,58,36
"142",16,2,2,2,8,7,65,49
"143",16,2,2,2,8,8,72,64
"144",16,2,2,2,8,9,78,81
"145",17,1,1,1,1,1,22,1
"146",17,1,1,1,1,2,27,4
"147",17,1,1,1,1,3,32,9
"148",17,1,1,1,1,4,37,16
"149",17,1,1,1,1,5,42,25
"150",17,1,1,1,1,6,47,36
"151",17,1,1,1,1,7,52,49
"152",17,1,1,1,1,8,58,64
"153",17,1,1,1,1,9,64,81
"154",18,1,1,2,2,1,24,1
"155",18,1,1,2,2,2,30,4
"156",18,1,1,2,2,3,35,9
"157",18,1,1,2,2,4,41,16
"158",18,1,1,2,2,5,48,25
"159",18,1,1,2,2,6,54,36
"160",18,1,1,2,2,7,60,49
"161",18,1,1,2,2,8,67,64
"162",18,1,1,2,2,9,74,81
"163",19,1,2,1,3,1,23,1
"164",19,1,2,1,3,2,29,4
"165",19,1,2,1,3,3,35,9
"166",19,1,2,1,3,4,40,16
"167",19,1,2,1,3,5,46,25
"168",19,1,2,1,3,6,52,36
"169",19,1,2,1,3,7,59,49
"170",19,1,2,1,3,8,65,64
"171",19,1,2,1,3,9,70,81
"172",20,1,2,2,4,1,24,1
"173",20,1,2,2,4,2,30,4
"174",20,1,2,2,4,3,36,9
"175",20,1,2,2,4,4,43,16
"176",20,1,2,2,4,5,50,25
"177",20,1,2,2,4,6,54,36
"178",20,1,2,2,4,7,60,49
"179",20,1,2,2,4,8,67,64
"180",20,1,2,2,4,9,73,81
"181",21,2,1,1,5,1,24,1
"182",21,2,1,1,5,2,29,4
"183",21,2,1,1,5,3,34,9
"184",21,2,1,1,5,4,39,16
"185",21,2,1,1,5,5,44,25
"186",21,2,1,1,5,6,49,36
"187",21,2,1,1,5,7,54,49
"188",21,2,1,1,5,8,59,64
"189",21,2,1,1,5,9,63,81
"190",22,2,1,2,6,1,25,1
"191",22,2,1,2,6,2,30,4
"192",22,2,1,2,6,3,36,9
"193",22,2,1,2,6,4,42,16
"194",22,2,1,2,6,5,48,25
"195",22,2,1,2,6,6,54,36
"196",22,2,1,2,6,7,61,49
"197",22,2,1,2,6,8,67,64
"198",22,2,1,2,6,9,72,81
"199",23,2,2,1,7,1,24,1
"200",23,2,2,1,7,2,30,4
"201",23,2,2,1,7,3,36,9
"202",23,2,2,1,7,4,40,16
"203",23,2,2,1,7,5,45,25
"204",23,2,2,1,7,6,50,36
"205",23,2,2,1,7,7,55,49
"206",23,2,2,1,7,8,60,64
"207",23,2,2,1,7,9,65,81
"208",24,2,2,2,8,1,24,1
"209",24,2,2,2,8,2,29,4
"210",24,2,2,2,8,3,34,9
"211",24,2,2,2,8,4,39,16
"212",24,2,2,2,8,5,45,25
"213",24,2,2,2,8,6,51,36
"214",24,2,2,2,8,7,57,49
"215",24,2,2,2,8,8,64,64
"216",24,2,2,2,8,9,70,81
"217",25,1,1,1,1,1,22,1
"218",25,1,1,1,1,2,26,4
"219",25,1,1,1,1,3,30,9
"220",25,1,1,1,1,4,34,16
"221",25,1,1,1,1,5,38,25
"222",25,1,1,1,1,6,43,36
"223",25,1,1,1,1,7,48,49
"224",25,1,1,1,1,8,53,64
"225",25,1,1,1,1,9,59,81
"226",26,1,1,2,2,1,22,1
"227",26,1,1,2,2,2,28,4
"228",26,1,1,2,2,3,33,9
"229",26,1,1,2,2,4,39,16
"230",26,1,1,2,2,5,45,25
"231",26,1,1,2,2,6,51,36
"232",26,1,1,2,2,7,58,49
"233",26,1,1,2,2,8,63,64
"234",26,1,1,2,2,9,70,81
"235",27,1,2,1,3,1,23,1
"236",27,1,2,1,3,2,28,4
"237",27,1,2,1,3,3,32,9
"238",27,1,2,1,3,4,36,16
"239",27,1,2,1,3,5,42,25
"240",27,1,2,1,3,6,48,36
"241",27,1,2,1,3,7,54,49
"242",27,1,2,1,3,8,59,64
"243",27,1,2,1,3,9,65,81
"244",28,1,2,2,4,1,23,1
"245",28,1,2,2,4,2,29,4
"246",28,1,2,2,4,3,35,9
"247",28,1,2,2,4,4,41,16
"248",28,1,2,2,4,5,48,25
"249",28,1,2,2,4,6,55,36
"250",28,1,2,2,4,7,62,49
"251",28,1,2,2,4,8,68,64
"252",28,1,2,2,4,9,69,81
"253",29,2,1,1,5,1,25,1
"254",29,2,1,1,5,2,30,4
"255",29,2,1,1,5,3,35,9
"256",29,2,1,1,5,4,40,16
"257",29,2,1,1,5,5,45,25
"258",29,2,1,1,5,6,50,36
"259",29,2,1,1,5,7,55,49
"260",29,2,1,1,5,8,60,64
"261",29,2,1,1,5,9,65,81
"262",30,2,1,2,6,1,24,1
"263",30,2,1,2,6,2,30,4
"264",30,2,1,2,6,3,36,9
"265",30,2,1,2,6,4,41,16
"266",30,2,1,2,6,5,46,25
"267",30,2,1,2,6,6,51,36
"268",30,2,1,2,6,7,55,49
"269",30,2,1,2,6,8,59,64
"270",30,2,1,2,6,9,64,81
"271",31,2,2,1,7,1,25,1
"272",31,2,2,1,7,2,30,4
"273",31,2,2,1,7,3,36,9
"274",31,2,2,1,7,4,42,16
"275",31,2,2,1,7,5,48,25
"276",31,2,2,1,7,6,54,36
"277",31,2,2,1,7,7,60,49
"278",31,2,2,1,7,8,65,64
"279",31,2,2,1,7,9,70,81
"280",32,2,2,2,8,1,25,1
"281",32,2,2,2,8,2,31,4
"282",32,2,2,2,8,3,39,9
"283",32,2,2,2,8,4,46,16
"284",32,2,2,2,8,5,53,25
"285",32,2,2,2,8,6,60,36
"286",32,2,2,2,8,7,67,49
"287",32,2,2,2,8,8,73,64
"288",32,2,2,2,8,9,80,81
