feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,target
1.386,0.806,0.888,-0.347,-0.001,0.189,-1.231,0.71,-0.091,-1.009,-0.164,0.953,1.767,-1.99,1.836,0.515,-1.889,0.943,0.798,-0.308,0.216,0.593,-2.277,-0.425,0.452,-0.854,0.878,1.287,-0.701,-0.344,1.284,0.079,-1.483,0.425,1.332,-0.558,-0.045,-0.332,-0.671,0.581,-2.917,-1.27,0.753,0.664,-1.309,0.225,1.009,-1.622,-0.07,1.6,1258.675
1.367,0.329,0.837,-0.074,-0.148,-0.378,1.899,-0.948,-0.443,-0.416,-0.331,-0.539,0.398,-1.604,0.974,-0.813,0.544,0.223,-0.941,1.353,-0.902,-0.934,-0.93,-0.501,0.417,0.334,-0.006,0.019,-1.924,0.024,0.087,0.21,0.596,-0.449,0.984,0.481,0.771,-1.982,-0.139,0.86,-0.716,-0.88,-0.472,-1.005,-0.941,0.02,0.899,-1.233,-0.088,1.873,5240.796
-0.559,1.003,-0.758,-1.766,1.124,0.319,-0.923,1.307,0.279,0.386,-0.828,-0.154,-0.238,0.699,0.984,0.239,1.292,-1.156,0.354,-2.719,0.847,-1.098,2.12,-0.336,0.788,0.007,1.251,0.5,1.434,0.81,-0.539,0.097,-0.148,1.359,-0.036,0.78,-0.294,0.651,0.831,-0.81,1.14,0.414,-1.068,0.236,-1.006,0.574,-0.142,0.221,0.734,-0.268,-7467.25
-1.253,-1.286,0.62,-0.979,-0.602,0.624,-0.009,-0.179,1.336,-0.91,0.009,1.159,1.18,1.775,0.735,-1.013,0.4,-1.199,-0.368,0.366,-1.56,-0.163,-0.963,0.714,-1.179,-0.133,-0.241,-0.159,-0.296,1.173,-0.034,0.844,-0.456,-0.677,0.358,-1.251,-1.172,1.471,0.296,-1.134,-1.668,0.037,-1.255,2.216,0.32,-0.453,-1.556,-1.179,-0.925,-0.271,-11139.378
-0.152,0.634,-3.435,2.095,-0.092,1.111,-0.285,0.647,-1.87,-0.629,-0.432,0.997,-0.185,0.873,0.184,-0.461,0.689,1.181,0.591,0.436,-0.706,-1.301,1.005,-1.257,-0.96,0.478,1.347,1.697,-0.656,-0.257,0.757,-0.44,-1.812,0.053,0.59,-0.344,-1.115,2.418,-0.611,2.062,-1.754,0.938,-0.807,-1.218,-0.164,-0.019,1.297,0.715,1.263,1.045,-7761.37
0.322,-0.409,-1.108,1.704,1.187,1.185,0.022,1.005,1.437,-0.437,-0.281,-0.418,0.084,0.368,-1.019,1.193,-2.204,-1.563,-0.601,0.695,-0.239,1.957,-0.452,2.763,-0.958,0.495,-1.909,-0.43,-1.954,-1.05,-0.171,1.542,-1.927,-0.252,0.729,-0.552,-0.455,-0.238,0.326,0.872,1.124,-1.079,-2.094,-1.129,0.245,-0.236,0.903,-0.135,0.676,0.473,-10744.912
2.41,1.919,0.933,0.089,-0.248,-0.599,-0.891,-0.429,0.327,0.133,0.615,0.073,-1.322,0.875,0.689,0.83,0.977,-0.276,1.326,0.651,1.61,1.624,-0.131,1.76,0.031,0.528,-1.947,-0.059,0.785,0.065,0.323,-1.962,-1.16,0.181,-0.773,2.592,0.822,-0.557,1.108,-1.59,-0.028,-1.053,-0.639,-0.359,1.512,-1.226,-1.705,0.472,1.937,0.613,-16491.172
-0.94,0.225,-0.304,0.337,-0.102,0.544,-1.322,1.299,-1.817,-0.565,-0.013,0.508,1.064,-0.59,0.624,1.171,0.404,-0.329,-0.271,-0.314,-0.22,1.536,1.915,-1.203,-0.689,1.185,0.174,-0.152,-0.747,0.096,-1.308,1.268,-1.368,-2.316,-1.583,1.68,-1.9,0.864,0.44,-0.591,1.18,1.175,-0.337,-1.89,-1.006,-0.581,0.261,-2.108,-0.649,-0.154,-14505.173
-0.142,1.16,0.327,-0.115,-0.258,-0.832,0.15,0.202,1.023,0.498,-1.069,-1.223,0.576,-1.743,1.008,0.479,0.555,-0.783,-0.008,-0.383,0.799,-0.203,0.471,-0.444,1.171,-1.625,0.015,0.323,-0.166,1.282,-0.794,1.229,1.719,-0.962,0.943,0.138,-3.021,0.825,1.52,1.398,0.192,-0.94,-0.001,1.067,-0.865,-0.201,1.208,-0.768,0.117,0.02,-5160.251
-0.727,0.362,0.556,-1.156,-1.2,-0.862,-0.632,-0.584,1.989,0.16,-0.439,1.434,-1.711,-1.813,0.974,-0.837,1.898,-0.601,-0.501,-0.125,0.024,0.719,0.918,0.926,-0.382,1.207,-1.653,-0.24,0.542,0.533,0.114,-0.133,-1.044,-2.679,-0.502,-1.106,0.585,-0.95,0.29,0.585,-0.16,-0.126,-0.292,0.607,-0.639,-1.786,-1.913,-0.305,1.471,-0.342,-5150.044
0.314,-0.773,-0.595,-1.966,0.868,0.038,-0.875,0.878,-0.102,-1.008,-0.638,-0.279,-1.58,1.244,-1.2,1.426,-1.214,0.766,1.325,-1.36,0.11,0.481,-0.121,-0.098,-0.886,-0.11,-0.716,1.654,-2.256,0.296,0.167,1.053,-1.498,-0.591,1.507,-0.784,-2.615,0.14,0.299,0.554,-1.536,0.323,-0.408,0.468,-1.839,0.124,1.667,0.072,-2.238,0.84,-4828.809
0.275,0.51,0.468,-0.143,0.407,-0.948,0.922,0.53,0.088,-1.601,0.94,1.532,-0.43,0.227,-1.044,0.578,-1.275,0.68,-1.059,-0.534,-0.379,-0.415,0.3,0.584,-1.036,-0.855,0.086,-0.223,1.248,-0.619,0.971,-1.238,-2.697,-0.111,-1.435,-1.298,0.359,-1.53,0.911,-2.009,0.558,-0.399,0.292,0.229,-0.219,0.241,-0.179,-0.376,0.325,0.926,-6751.849
-0.082,-0.992,0.175,1.285,1.31,-1.053,-0.192,1.203,3.4,-0.783,0.423,0.745,0.613,0.847,-1.446,-0.628,-0.668,1.768,1.044,-0.866,1.249,0.592,0.741,0.59,-0.809,1.042,-0.959,0.768,0.153,0.78,0.308,0.721,1.292,1.766,0.606,0.19,0.759,1.406,0.259,-0.965,-0.663,-1.202,-1.213,-0.08,-1.377,0.998,1.412,0.566,1.409,-0.682,-5268.98
-0.527,1.402,1.124,0.394,0.507,-0.229,0.356,0.457,-0.577,-0.25,-0.874,0.293,0.584,-1.237,0.127,1.675,0.319,0.353,1.218,0.577,-1.222,-1.356,-1.073,0.478,0.695,-1.435,-1.138,-0.724,0.794,0.381,0.823,-0.316,-1.229,0.837,0.77,-1.292,-0.339,0.595,0.767,1.313,0.453,-0.44,0.29,-0.161,-1.635,0.679,-1.684,-0.374,1.017,-1.62,-9217.534
0.271,2.003,0.514,-0.314,-1.308,0.731,-0.058,0.786,-2.854,-1.074,-0.398,-0.744,0.681,1.173,1.098,0.024,0.284,-0.237,0.552,-0.487,1.028,0.664,0.221,-0.107,0.369,-0.305,-0.275,1.425,-0.737,-1.597,0.529,0.204,1.148,1.201,-1.443,-0.38,2.045,0.899,0.242,-0.605,-0.498,-0.747,1.144,0.002,-0.518,0.543,-1.475,0.739,0.416,1.076,-16095.443
-1.36,-1.227,0.237,-1.1,0.227,-2.056,0.745,-0.702,-0.202,0.562,0.003,-2.083,-1.099,-0.022,-0.485,-0.192,0.594,-0.527,-0.287,-1.143,-1.008,-0.696,0.638,-0.612,-0.678,-1.61,-0.143,-0.829,-0.441,-0.948,0.086,-0.471,1.961,0.24,1.604,2.394,-1.121,0.984,-1.029,-2.802,0.548,-0.144,-0.604,1.41,-1.392,-0.186,-0.772,0.431,0.166,0.152,-9360.026
-0.066,0.384,-0.047,1.236,0.152,-0.788,0.284,0.481,1.012,-0.239,-0.678,-0.696,-1.212,0.495,1.147,-0.924,-0.857,-0.939,-0.191,0.232,-0.959,-0.685,1.285,-1.502,2.046,-0.042,0.806,0.322,1.432,-0.547,-0.063,1.365,-0.013,0.973,0.686,0.73,0.261,-0.84,-1.156,1.028,0.799,1.418,-0.065,0.06,1.581,-1.746,-0.665,-1.129,-1.014,-1.026,-8647.651
-0.73,0.395,-0.589,0.094,0.155,1.255,1.286,-1.379,0.208,-0.198,1.104,-1.427,0.579,1.898,-2.304,0.089,-1.482,-1.498,-0.92,-0.162,-0.915,1.216,-0.805,-0.706,0.427,0.929,-1.253,-1.459,0.549,-1.09,-0.106,-0.754,-2.329,-0.844,0.282,-0.553,-0.882,0.484,-1.04,0.572,-0.237,-0.583,-0.213,0.394,-0.82,0.599,-0.483,-1.336,1.591,-0.561,-6506.527
0.656,-1.906,1.24,1.236,-0.5,-1.258,-0.74,0.545,0.276,-1.511,-1.487,1.468,-1.528,-0.956,0.008,-1.446,-1.67,1.739,0.288,0.598,-0.491,1.858,2.508,-1.155,0.775,-0.614,-1.783,0.067,1.287,-0.314,0.928,0.489,-0.721,-0.664,-0.335,1.053,-0.036,1.902,0.954,-0.115,1.316,-0.694,-0.726,-0.964,0.158,0.105,-0.338,0.396,0.768,-0.338,-3952.389
0.402,1.667,0.43,0.214,-1.179,-0.529,-1.227,0.744,-0.631,-0.559,1.824,-1.207,1.236,0.641,-0.809,0.334,-0.703,-0.274,-2.365,-0.18,0.166,0.848,-0.451,0.111,-0.389,-0.938,-0.472,-0.751,0.434,1.118,-0.617,0.398,0.755,-1.313,0.502,0.628,0.095,0.623,0.501,-1.204,2.217,-0.082,0.682,1.483,-2.577,-0.507,-2.617,1.651,-1.185,0.179,-18414.256
-0.673,-1.145,-1.272,-0.57,0.671,0.425,-0.123,-0.001,1.7,0.695,-1.981,0.439,0.908,-0.326,-1.134,1.85,-0.257,-0.268,1.217,0.569,0.475,-0.202,0.177,1.082,-0.926,1.43,-0.606,-0.358,-2.143,0.218,-0.377,0.064,-0.441,-1.035,0.82,-2.282,0.967,0.122,0.464,-1.007,-0.222,1.674,-0.89,0.71,0.172,0.03,0.777,0.782,-1.609,0.063,-6691.775
1.23,-1.858,-0.718,-1.4,0.418,-0.284,-0.386,-0.75,-1.22,-0.76,0.095,-0.436,0.732,-0.891,0.608,0.255,-0.31,-0.633,0.257,-1.05,-1.257,0.343,0.707,0.337,1.21,0.584,1.054,0.475,-1.494,0.217,-0.52,1.866,0.487,1.022,0.06,-1.654,-0.633,-0.534,0.436,0.158,0.966,0.536,1.001,-0.082,-0.007,1,-0.802,1.133,0.48,-1.487,-10133.131
-1.967,-2.085,0.351,-2.156,2.118,-0.817,-0.084,0.666,-0.536,1.717,0.895,-0.57,-0.363,1.988,-0.506,-0.53,1.928,-0.592,-0.576,1.271,-0.588,0.038,-1.284,0.27,-0.911,0.08,1.363,-0.022,0.052,-0.402,0.111,0.713,-1.038,1.617,-0.877,0.692,0.629,-0.306,-2.514,2.015,0.662,-1.223,-0.076,-2.294,-2.68,-1.92,-1.18,-0.183,-0.278,-0.622,-9504.822
-1.202,1.641,0.49,-0.275,-2.513,-0.887,0.654,-0.022,-0.148,-2.003,-0.764,-1.054,1.073,-0.53,-0.911,-0.428,0.959,1.78,-0.106,-0.566,0.526,-0.115,-0.516,0.33,0.538,0.961,-1.465,0.154,-1.331,-0.385,-0.714,-1.219,0.519,0.276,-0.68,1.149,1.337,-0.474,-1.971,-0.101,-0.55,1.429,-0.59,0.27,0.055,-0.562,2.067,0.498,-0.657,0.374,-20788.786
-1.159,2.133,0.216,-0.946,0.567,-1.351,2.152,0.091,0.091,0.144,0.791,0.607,1.246,1.019,0.028,-0.427,0.534,0.449,0.506,1.608,-0.648,0.171,-0.725,1.434,0.104,1.321,-0.013,1.113,-0.452,0.801,0.299,1.757,-1.318,-0.067,0.705,2.255,-0.471,-1.36,-0.024,0.288,1.371,-0.496,0.68,0.698,1.9,-0.252,0.417,-1.843,-0.05,0.567,-4120.092
-0.594,-1.01,-0.298,-0.263,1.174,1.223,-1.093,-1.281,-0.01,-1.161,-0.587,1.617,0.485,0.031,0.064,1.134,0.977,0.011,0.203,0.056,-0.475,-1.568,0.427,-0.919,-0.069,1.869,-0.307,0.33,-0.36,-0.566,-1.5,0.945,1.057,2.193,0.785,0.082,1.062,1.112,-0.707,0.806,-1.457,-0.234,-1.237,-0.181,0.674,0.683,0.328,-1.173,0.942,0.153,-1147.431
-0.881,-1.004,0.337,1.554,1.546,-0.398,-0.756,-0.375,0.837,0.482,-1.376,2.247,1.969,-1.575,1.483,-1.943,-0.229,0.45,-2.516,-1.345,-0.413,-0.289,-0.072,-0.516,0.577,-1.069,0.781,-0.052,1.43,-0.062,-2.027,0.089,1.785,1.194,-0.556,1.158,-0.179,-0.648,-0.14,-2.166,0.285,-1.047,0.953,-0.428,1.21,0.056,0.662,0.957,1.493,-0.267,-13364.824
-0.683,0.469,-0.451,0.251,0.151,1.02,-0.228,0.763,0.608,0.989,-1.022,-0.403,0.191,1.272,0.353,0.235,-0.681,-0.005,-2.287,-0.067,0.767,0.282,-0.331,0.189,-1.345,-0.394,0.094,-0.456,0.568,0.003,0.153,0.784,0.768,-1.627,-0.789,0.763,-0.693,-0.515,0.615,0.131,-2.31,1.487,0.771,0.53,0.818,-1.071,-0.294,-0.015,-0.967,0.793,-7116.514
-0.275,0.518,0.885,-0.464,-1.044,-0.704,-0.486,-0.42,0.168,0.247,-0.222,-0.402,-0.034,1.32,0.05,-1.003,0.983,-0.168,1.546,-0.811,0.734,-0.401,0.093,1.626,-0.936,2.073,0.992,0.274,0.666,1.758,-0.665,-0.409,-1.185,-0.026,-0.152,1.271,-0.182,0.702,-0.486,-1.056,0.787,0.985,0.765,1.628,0.369,0.983,-0.605,1.23,-0.587,-0.301,-15005.653
0.413,0.93,-0.032,1.615,-0.04,0.788,0.595,1.596,1.567,-0,-0.541,-1.698,0.49,-0.703,0.053,-2.096,0.145,0.02,-1.787,0.638,0.075,-0.972,0.504,-0.036,-0.147,0.066,-0.94,-0.665,-1.2,0.657,-0.355,-1.928,1.873,0.179,0.861,1.364,-0.178,0.608,0.151,0.536,-0.263,-0.074,0.111,0.887,-1.214,0.514,-1.058,-0.376,-0.146,-0.24,-13674.516
-0.452,-0.934,-0.271,-0.479,0.37,1.861,1.001,1.154,-0.11,0.327,-1.519,0.907,0.215,-0.228,1.38,0.666,-0.077,0.692,-0.103,-1.064,1.908,0.924,0.956,-0.697,-0.31,-0.654,2.072,0.076,0.702,1.571,2.31,1.962,0.551,-0.34,-0.509,-0.477,-0.864,0.484,0.246,-0.857,1.42,1.968,1.547,0.166,1.309,0.067,-0.082,-0.096,-0.221,0.968,-11751.648
-1.013,-0.558,0.364,0.792,-1.902,0.552,0.684,0.373,-1.857,-0.637,0.85,1.486,0.325,1.291,0.342,-1.311,0.488,1.005,0.243,-0.035,1.513,-0.066,0.115,-1.125,1.795,0.024,0.83,-1.232,0.265,-1.645,-0.8,0.847,0.713,0.52,0.174,0.888,1.746,0.265,0.704,0.308,1.581,-0.41,0.586,-1.123,0.25,-0.001,-0.666,-0.061,-1.14,-1.76,-7437.692
-0.944,0.083,-0.642,1.566,0.178,0.064,-1.325,-0.995,0.648,0.563,-1.057,-0.271,-1.537,1.272,-1.137,0.986,-1.211,-0.601,1.4,2.103,-0.438,-0.382,-0.591,1.055,0.141,-1.109,-1.416,-0.163,-2.031,0.979,1.01,-0.571,-0.397,0.133,2.518,-2.158,-0.274,0.339,-0.785,-1.316,-0.51,0.427,-0.651,1.726,1.289,0.015,0.233,-2.092,-1.098,-1.447,-7176.2
0.66,1.271,-0.966,1.101,-0.704,-0.236,-0.647,-1.515,-0.89,1.707,0.836,-0.504,-2.033,0.676,0.993,-0.94,-0.488,-1.805,-0.335,0.972,1.006,2.123,0.291,-0.399,-0.593,1.229,0.793,2.458,0.182,-1.839,0.912,0.739,0.361,-0.428,-1.356,-0.605,1.264,0.129,-0.677,0.643,-0.61,-0.472,2.575,0.309,-0.985,1.524,-0.205,-0.871,-0.925,1.925,-1271.044
1.559,-2.282,-0.157,-0.956,0.273,-1.157,-0.494,0.387,0.748,-0.233,-1.404,1.411,0.359,2.308,1.327,-1.592,0.58,0.598,0.051,0.009,-0.991,0.298,2.238,0.244,1.347,-0.856,0.026,-1.783,-0.975,-0.414,0.215,-1.099,-1.693,-1.202,-0.475,-1.348,0.062,-0.548,0.283,-0.012,-1.546,-0.056,-1.454,-0.666,-0.27,0.346,-0.616,-1.205,1.972,1.712,-2062.68
0.86,0.031,1.043,-0.674,0.281,-1.245,-0.415,0.207,-2.221,0.493,0.773,-0.427,1.267,0.753,-2.402,-1.856,1.838,-1.449,0.6,0.846,0.777,0.686,-0.92,-0.425,-0.113,-1.22,1.034,-0.568,-1.141,0.121,1.11,-0.159,1.106,0.742,-0.119,2.316,1.205,0.505,1.645,-1.059,0.241,1.549,-0.046,0.119,0.317,0.711,-0.127,0.92,0.142,0.061,-26659.693
0.355,-0.649,0.6,-0.712,-1.36,-0.005,-0.135,-0.766,0.041,0.807,1.785,-0.532,-0.309,-0.658,-1.438,-0.923,-0.855,-0.411,0.447,-1.492,-0.334,-0.726,0.786,-0.607,0.192,0.167,-0.009,-1.021,-0.355,-0.819,1.056,0.77,0.654,0.959,-2.157,-0.462,0.179,0.564,-1.819,-0.435,-1.725,-1.456,0.718,1.809,3.703,-0.369,1.089,-0.478,1.086,0.098,-15634.68
0.296,-1.009,0.386,-0.09,-0.152,0.741,0.017,-1.738,-0.63,0.45,-0.559,0.283,0.451,-0.684,-0.768,0.178,-0.575,-1.097,0.618,-0.476,-0.086,-2.795,-0.921,-0.313,0.446,-0.273,-0.066,-2.463,1.821,0.9,0.591,-0.487,0.91,0.731,-0.601,0.036,-0.347,-0.385,0.469,-1.182,0.043,1.134,0.222,0.391,1.668,-0.371,-0.495,-1.638,1.515,0.31,-9950.546
0.497,-0.194,-0.223,-0.301,0.471,0.704,-0.523,1.225,2.12,-0.744,-1.189,-0.736,-0.76,-1.73,1.573,0.499,-1.12,0.393,-1.69,0.063,-0.042,1.2,0.652,-2.283,-1.939,0.081,1.171,-1.146,1.121,-1.291,-0.255,1.025,-0.503,1.536,-0.205,1.378,-0.266,-0.217,0.362,1.408,0.064,0.459,-0.724,-0.471,-0.275,1.58,0.077,-0.279,-0.042,-0.267,-9983.176
0.561,1.036,1.072,-0.895,-0.7,-0.843,-0.269,1.165,-0.463,0.131,-2.513,-1.041,1.009,-2.386,1.113,-2.245,1.792,-0.19,1.144,-0.051,-1.02,-0.13,0.454,0.728,1.073,-0.985,-0.144,-0.68,1.057,-0.489,-0.77,0.022,-2.39,0.811,-0.367,-0.087,-0.132,1.374,-0.964,-0.279,-0.263,-0.223,-1.208,0.718,-0.391,-1.424,-1.547,-1.027,1.628,-0.753,-15062.523
-0.521,0.375,-1.418,0.16,1.384,1.192,0.477,-1.098,-0.205,0.376,-2.654,0.331,-1.319,0.924,1.846,-0.276,1.497,0.776,0.268,-0.048,0.021,1.625,0.25,-0.019,3.014,-0.889,0.181,1.127,0.588,1.278,0.479,-0.552,-1.429,-0.103,0.222,-0.191,-0.679,1.045,-0.203,0.737,-0.46,-1.053,0.18,-2.617,2.343,-0.279,1.404,-1.616,-0.764,0.431,11.784
-1.537,1.852,0.349,-0.468,0.405,-2.099,1.168,-0.871,-1.191,0.88,1.379,0.957,-0.184,1.438,0.392,2.685,0.55,0.441,-1.108,0.073,-0.259,1.26,-0.654,-0.279,2.481,0.628,-0.707,-0.962,-1.49,1.254,0.028,0.223,-0.268,1.488,0.662,0.502,0.663,-0.52,-0.596,1.851,0.749,0.885,-0.672,-2.645,0.776,0.558,0.983,-0.948,-0.041,-0.599,-5925.222
-0.096,-0.812,1.423,0.535,-1.556,0.723,-0.606,-0.761,0.702,1.294,-1.165,-0.014,1.584,1.035,0.787,0.886,0.216,0.076,-0.938,-0.281,-0.03,-0.926,0.211,-0.371,-1.032,-0.916,-0.441,-0.541,-0.252,-0.331,1.475,0.244,-1.14,1.352,0.26,-0.071,-0.932,-0.798,0.369,0.717,-1.617,0.906,-0.652,-0.012,1.051,0.266,-0.456,0.537,1.592,0.489,-5126.217
0.1,-0.862,-0.213,-0.013,-0.184,-0.371,0.399,1.624,0.483,-0.489,0.486,-0.057,-0.264,-1.518,0.898,-1.697,1.111,0.563,-1.375,-0.303,0.133,-0.169,1.476,-1.215,0.734,0.269,0.78,0.307,0.342,-2.652,-2.57,-0.328,-1.266,-1.999,0.358,-1.559,-0.518,1.315,0.212,-0.177,1.184,-1.249,-0.01,0.079,-0.028,-0.194,-0.899,0.397,0.376,-1.263,-19150.87
0.079,-0.891,-0.655,-0.729,-0.665,0.637,2.249,0.35,1.266,-0.156,0.627,1.008,0.177,0.77,-0.89,-1.261,1.293,-2.547,2.369,-0.399,-1.183,-0.724,1.557,-0.158,-1.188,1.753,-1.959,1.36,0.597,0.043,0.681,0.28,1.312,0.531,-0.648,-0.077,1.11,-0.723,-1.086,1.701,0.638,-0.943,-2.04,-1.035,0.45,-0.252,-1.017,-1.098,0.028,-0.856,-11633.709
-0.642,0.522,-0.551,0.018,1.287,0.662,0.848,-0.032,1.457,0.203,0.924,0.191,0.198,-0.443,-0.762,0.109,0.036,0.459,1.461,0.417,-0.158,0.073,-0.882,0.769,1.341,0.979,-0.146,-1.545,-0.033,-2.666,0.675,-0.753,1.939,0.854,-0.982,0.552,-0.87,-0.21,1.043,0.154,0.322,-0.108,-1.995,-2.197,-1.273,0.992,0.462,1.251,0.258,1.779,-13583.814
0.517,1.002,-0.139,0.259,-0.443,-0.462,0.374,0.16,0.208,-0.261,-1.235,-0.341,0.157,-0.459,-1.142,-1.24,0.318,1.098,-1.015,-0.241,1.81,-0.748,1.32,0.576,-0.423,-1.757,1.094,-0.02,-0.418,1.409,-0.113,1.819,-0.056,0.141,1.998,-0.15,-1.181,0.347,1.562,0.199,-1.515,0.016,1.738,0.159,1.246,0.306,0.511,0.165,-0.094,-2.325,-13003.625
-1.733,0.96,0.918,-0.361,-0.828,0.019,1.251,-1.344,-1.579,-0.587,0.951,-0.552,-0.292,-0.429,-0.821,0.817,1.055,-0.363,1.207,0.983,-0.312,-1.057,0.665,-0.074,-0.658,0.911,-1.383,-0.494,-2.375,0.065,-0.236,-0.512,-0.24,0.252,0.079,-0.148,0.295,0.455,-0.59,-0.176,-1.258,-0.871,0.168,1.99,-0.487,0.338,-0.712,0.695,1.605,-1.191,-12202.653
